"V1";"V2"
"Will Angus King be re-elected to the U.S. Senate in Maine in 2018?";"Will Angus King be re-elected?"
"B1) Sep. 1- Sep. 8";"9/1-9/8"
"B9) Nov. 1 or later, or never";"11/1, later, never"
"B2) Sep. 9 - Sep. 15";"9/9-9/15"
"B0) On or before Aug. 31";"8/31 or before"
"B3) Sep. 16 - Sep. 22";"9/16-9/22"
"B4) Sep. 23 - Sep. 29";"9/23-9/29"
"B5) Sep. 30 - Oct. 6";"9/30-10/6"
"B6) Oct. 7 - Oct. 13";"10/7-10/13"
"B7) Oct. 14 - Oct. 20";"10/14-10-20"
"B8) Oct. 21 - Oct. 31";"10/21-10/31"
"Will Sean Spicer publicly testify before Congress in 2017?";"Will Sean Spicer testify before Congress in 2017?"
"Will Jeff Flake win the 2018 Arizona Republican Senate primary?";"Will Flake win AZ GOP Senate primary?"
"Will Jeff Flake be re-elected to the U.S. Senate in Arizona in 2018?";"Will Jeff Flake be re-elected?"
"Will Rod Rosenstein be Deputy Attorney General on August 31?";"Will Rosenstein be Deputy AG on 8/31?"
"Will Jeff Sessions be Attorney General on August 31?";"Will Sessions be AG on 8/31?"
"Will Trump pardon Manafort by year-end 2018?";"Manafort pardon in 2017-18?"
"Will Trump pardon Kushner by year-end 2018?";"Kushner pardon in 2017-18?"
"Will Trump pardon Flynn by year-end 2018?";"Flynn pardon in 2017-18?"
"Will Will Hurd be re-elected to Congress in 2018?";"Will Will Hurd be re-elected?"
"Will Don Bacon be re-elected to Congress in 2018?";"Will Don Bacon be re-elected?"
"Will Senate pass motion to proceed on health care today?";"Will Senate pass procedural health care vote today?"
"Will Steve Knight be re-elected to Congress in 2018?";"Will Steve Knight be re-elected?"
"Will Darrell Issa be re-elected to Congress in 2018?";"Will Darrell Issa be re-elected?"
"Will Jeff Denham be re-elected to Congress in 2018?";"Will Jeff Denham be re-elected?"
"Will Reince Priebus be White House chief of staff on August 31, 2017?";"Will Priebus be WH chief of staff on 8/31?"
"Will Rex Tillerson be Secretary of State on August 31, 2017?";"Will Tillerson be Sec. State on 8/31?"
"Will H. R. McMaster be National Security Advisor on August 31, 2017?";"McMaster Nat'l Security Advisor on 8/31?"
"Will the federal government be shut down on October 2?";"Government shutdown on 10/2?"
"Thomas Homan";"Homan"
"James Loy";"Loy"
"Elaine Duke";"Duke"
"Emilio Gonzalez";"Gonzalez"
"Andrew Maner";"Maner"
"Will Betsy Hodges resign as Minneapolis mayor by December 31?";"Will Betsy Hodges resign by 3/31?"
"Will Mike Coffman be re-elected to Congress in 2018?";"Will Mike Coffman be re-elected?"
"Will Carlos Curbelo be re-elected to Congress in 2018?";"Will Carlos Curbelo be re-elected?"
"Will Jason Lewis be re-elected to Congress in 2018?";"Will Jason Lewis be re-elected?"
"Will Trump's Gallup approval be 39% or higher for August 1 - 3?";"Trump's Gallup at 39+ 8/1 - 8/3?"
"B1) August 2017 or earlier?";"Jul-Aug. 2017"
"B8) March 2018";"Mar. 2018"
"B7) February 2018";"Feb. 2018"
"B9) April 2018 or later";"Apr. 2018 or later"
"B6) January 2018";"Jan. 2018"
"B5) December 2017";"Dec. 2017"
"B4) November 2017";"Nov. 2017"
"B3) October 2017";"Oct. 2017"
"B2) September 2017";"Sep. 2017"
"Will Donald Trump be impeached in his first term?";"Will Trump be impeached in his 1st term?"
"Will Barbara Comstock be re-elected to Congress in 2018?";"Will Barbara Comstock be re-elected?"
"Will Carol Shea-Porter be re-elected to Congress in 2018?";"Will Carol Shea-Porter be re-elected?"
"Will Trump veto Russian sanctions bill by August 31?";"Will Trump veto Russian sanctions bill by 8/31?"
"Will Trump cut off ACA subsidies by August 21?";"Will Trump cut off ACA subsidies by 8/21?"
"B6) 2018 or later, or never";"2018 or later"
"B1) August 2017";"Aug. 2017"
"Will the RAISE Act be enacted in 2017?";"RAISE Act enacted in 2017?"
"B5) 38.0% - 38.3%";"38.0-38.3"
"B3) 38.8% - 39.1%";"38.8-39.1"
"B7) 37.5% or lower";"37.5-"
"B6) 37.6% - 37.9%";"37.6-37.9"
"B2) 39.2% - 39.5%";"39.2-39.5"
"B1) 39.6% or higher";"39.6+"
"B4) 38.4% - 38.7%";"38.4-38.7"
"Will Trump's Gallup approval be 36% or higher for August 8 - 10?";"Trump's Gallup at 36+ 8/8 - 8/10?"
"Will Kamala Harris run for president in 2020?";"Will Harris run in 2020?"
"Will Paul Ryan win the Republican primary for Wisconsin's 1st District?";"Will Ryan win WI-01 GOP primary?"
"Will Nancy Pelosi win the Democratic primary for California's 12th District?";"Will Pelosi win CA-12 Dem primary?"
"Will Kevin McCarthy succeed in the primary for California's 23rd District?";"Will McCarthy succeed in CA-23 primary?"
"Will Dwight Evans win the Democratic primary for Pennsylvania's 2nd District?";"Will Evans win PA-02 Dem primary?"
"Will Steny Hoyer win the Democratic primary for Maryland's 5th District?";"Will Hoyer win MD-05 Dem primary?"
"Will George Holding win the Republican primary for North Carolina's 2nd District?";"Will Holding win NC-02 GOP primary?"
"Will Scott Taylor win the Republican primary for Virginia's 2nd District?";"Will Taylor win VA-02 GOP primary?"
"B7) 90 or more";"90+"
"Will Trump's Gallup approval be 36% or higher for August 15 - 17?";"Trump's Gallup at 36+ 8/15 - 8/17?"
"B2) 38.8% - 39.1%";"38.8-39.1"
"B1) 39.2% or higher";"39.2+"
"B3) 38.4% - 38.7%";"38.4-38.7"
"B4) 38.0% - 38.3%";"38.0-38.3"
"B7) 37.1% or lower";"37.1-"
"B6) 37.2% - 37.5%";"37.2-37.5"
"B5) 37.6% - 37.9%";"37.6-37.9"
"Will Al Lawson win the Democratic primary for Florida's 5th District?";"Will Lawson win FL-05 Dem primary?"
"Will Roger Marshall win the Republican primary for Kansas's 1st District?";"Will Marshall win KS-01 GOP primary?"
"Will Kim Jong Un be Supreme Leader of North Korea at year-end 2017?";"Will Kim be NK leader at year-end?"
"Chris Herrod";"Herrod"
"Robert Kennedy";"Kennedy"
"Will North Korea participate in 2018 Olympics opening ceremony?";"North Korea at 2018 Olympics?"
"Will Trump pardon Joe Arpaio or commute his sentence by year-end 2017?";"Arpaio pardon in 2017?"
"Will Al Thomas resign as Charlottesville police chief by December 31?";"Charlottesville police chief resign in 2017?"
"Will State Dept. certify Iran's nuclear compliance by 10/15?";"Will State certify Iran's nuke compliance?"
"Will Rex Tillerson be Secretary of State on September 30?";"Will Tillerson be Sec. State on 9/30?"
"Will John Kelly be White House chief of staff on September 30?";"Will Kelly be WH chief of staff on 9/30?"
"Will Jeff Sessions be Attorney General on September 30?";"Will Sessions be AG on 9/30?"
"Will James Mattis be Secretary of Defense on September 30?";"Will Mattis be SecDef on 9/30?"
"Will H. R. McMaster be National Security Advisor on September 30?";"McMaster Nat'l Security Advisor on 9/30?"
"Will Trump's Gallup approval be 50% or higher at any point before year-end 2018?";"Trump's Gallup at 50+ in 2017-18?"
"Will Trump's Gallup approval be 50% or higher at any point in 2017?";"Trump's Gallup at 50+ in 2017?"
"Will the Senate Judiciary Committee subpoena Jared Kushner in 2017?";"Judiciary Cmte subpoena Kushner in 2017?"
"Will the Senate Judiciary Committee subpoena Donald Trump, Jr. in 2017?";"Judiciary Cmte subpoena Don Jr. in 2017?"
"Will a repatriation tax holiday be enacted in 2017?";"Repatriation tax holiday enacted in 2017?"
"Will Gary Cohn be Director of the National Economic Council on August 31?";"Cohn NEC director on 8/31?"
"Will Trump's Gallup approval be 37% or higher for August 22 - 24?";"Trump's Gallup at 37+ 8/22 - 8/24?"
"Will the Senate pass the health care bill H.R. 1628 in 2017?";"Senate pass HR 1628 in 2017?"
"Will the Senate vote on health care bill H.R. 1628 in 2017?";"Senate vote on HR 1628 in 2017?"
"Will Dean Heller be re-elected to the U.S. Senate in Nevada in 2018?";"Will Dean Heller be re-elected?"
"Will Trump's Gallup approval be 30% or lower at any point in 2017?";"Trump's Gallup at 30- in 2017?"
"Will Trump mention ""Obama"" in 8/21 address?";"Trump mention ""Obama"" in 8/21 address?"
"30% - 35%";"30-35"
"40% - 45%";"40-45"
"45% - 50%";"45-50"
"0% - 25%";"0-25"
"25% - 30%";"25-30"
"35% - 40%";"35-40"
"Will Trump cut off ACA subsidies by September 20?";"Will Trump cut off ACA subsidies by 9/20?"
"Li Keqiang";"Li Keqiang"
"Wang Yang";"Wang Yang"
"Li Zhanshu";"Li Zhanshu"
"Will Trump's Gallup approval be 34% or higher for August 29 -31?";"Trump's Gallup at 34+ 8/29 - 8/31?"
"Will Democrats win a majority in the Virginia House of Delegates in 2017?";"Will Dems win VA House in 2017?"
"Will Democrats win a majority in the Washington State Senate in 2017?";"Will Dems win WA State Senate in 2017?"
"Will Trump issue 2 or more pardons in 2017?";"Will Trump issue 2+ pardons in 2017?"
"Will Elaine Chao be Secretary of Transportation on December 31?";"Will Chao be Transportation Sec. on 12/31?"
"Will Susan Collins run for Maine governor in 2018?";"Collins for ME governor in 2018?"
"Will Joe Biden run for president in 2020?";"Will Biden run in 2020?"
"Will the U.S. grant Venezuela Temporary Protected Status in 2017?";"Temp Protected Status for Venezuela in 2017?"
"Will Bob Corker win the 2018 Tennessee Republican Senate primary?";"Will Corker win TN GOP Senate primary?"
"Will Ted Cruz win the 2018 Texas Republican Senate primary?";"Will Cruz win the TX GOP Senate primary?"
"Will Orrin Hatch win the 2018 Utah Republican Senate primary?";"Will Hatch win UT GOP Senate primary?"
"Will Dean Heller win the 2018 Nevada Republican Senate primary?";"Will Heller win NV GOP Senate primary?"
"Will SCOTUS overturn gerrymandering ruling in Gill v. Whitford by July 31, 2018?";"SCOTUS overturns gerrymandering ruling?"
"Will Robert Mueller be replaced as Special Counsel by Sep. 30?";"Will Mueller be replaced by 9/30?"
"Will Gary Cohn be Director of the National Economic Council on September 30?";"Cohn NEC director on 9/30?"
"Will Rod Rosenstein be Deputy Attorney General on December 31?";"Will Rosenstein be Deputy AG on 12/31?"
"Will Trump's Gallup approval be 35% or higher for September 5-7?";"Trump's Gallup at 35+ 9/5 - 9/7?"
"Will the National Flood Insurance Program debt limit be raised by 9/30?";"NFIP debt limit raised by 9/30?"
"Will Trump executive action mention ""national emergency"" by Mar. 31?";"""Nat'l emergency"" exec. action by 3/31?"
"Will Congress censure Trump in 2017?";"Congress censure Trump in 2017?"
"Will New York State indict Paul Manafort in 2017?";"Manafort indicted in NY in 2017?"
"Will the DREAM Act be enacted in 2017?";"DREAM Act enacted in 2017?"
"Will a disaster relief bill be enacted by September 9?";"Disaster relief enacted by 9/9?"
"Will Trump's Gallup approval be 36% or higher for September 12-14?";"Trump's Gallup at 36+ 9/12 - 9/14?"
"240 - 259";"240 - 259"
"220 - 239";"220 - 239"
"219 or fewer";"219-"
"260 - 279";"260 - 279"
"280 - 299";"280 - 299"
"340 or more";"340+"
"320 - 339";"320 - 339"
"300 - 319";"300 - 319"
"Will outright majority of seats be won in the German federal election?";"Outright majority in German federal election?"
"Alternative for Germany";"AfD"
"Free Democratic Party";"FDP"
"Alliance 90/The Greens";"Green"
"Die Linke";"Die Linke"
"B3) 90 - 99 seats";"90 - 99"
"B1) 110 or more seats";"110+"
"B2) 100 - 109 seats";"100 - 109"
"B5) 79 or fewer seats";"79-"
"B4) 80 - 89 seats";"80 - 89"
"Will the federal government be shut down on December 11?";"Government shutdown on 12/11?"
"Will the House vote on debt limit repeal bill H.R. 3693 in 2017?";"House vote on H.R. 3693 in 2017?"
"Will the Senate pass the National Defense Authorization Act by Sep. 15?";"Senate pass defense authorization by 9/15?"
"Will Bob Menendez be convicted of a federal charge in 2017?";"Menendez convicted in 2017?"
"Will James Comey testify before Congress again in 2017?";"Will Comey testify by 12/31?"
"Mohamed El-Erian";"El-Erian"
"Will the Senate pass the health care bill H.R. 1628 by September 30?";"Senate pass HR 1628 by 9/30?"
"Will the United Nations adopt additional sanctions against North Korea in 2017?";"More North Korea sanctions in 2017?"
"Will the House pass CHIP reauthorization by September 30?";"House renew CHIP by Sept. 30?"
"Will the Senate pass CHIP reauthorization by September 30?";"Senate renew CHIP by Sept. 30?"
"Will the House pass 21st Century AIRR Act by September 30?";"House pass AIRR by Sept. 30?"
"Will the Senate pass FAA reauthorization S.1405 by September 30?";"Senate reauthorize FAA by Sept. 30?"
"Will September CBP Southwest Border Total Apprehensions be lower than August?";"Sept. border apprehensions below Aug?"
"15 or fewer";"15-"
"17";"17"
"19";"19"
"18";"18"
"20 or more";"20+"
"Will Trump ""Build a wall, and make Mexico pay for it"" by 12/31/18?";"Mexico pay for wall by 12/31/18?"
"Will Trump's Gallup approval be 37% or higher for September 19-21?";"Trump's Gallup at 37+ 9/19 - 9/21?"
"Will Mark Zuckerberg testify before Congress again in 2017?";"Will Zuckerberg testify by 12/31?"
"Will the Senate pass DREAM Act by March 31?";"Senate pass DREAM Act by Mar. 31?"
"Will the House pass DREAM Act by March 31?";"House pass DREAM Act by Mar. 31?"
"Will Trump mention ""missile defense"" in 9/19 U.N. address?";"Trump mention ""missile defense"" in U.N. address?"
"Will Trump mention ""Scotland Yard"" in 9/19 U.N. address?";"Trump mention ""Scotland Yard"" in U.N. address?"
"Will Trump mention ""Paris"" in 9/19 U.N. address?";"Trump mention ""Paris"" in U.N. address?"
"Will Trump mention Islam in 9/19 U.N. address?";"Trump mention Islam in U.N. address?"
"Will a federal criminal charge be filed against Xavier Becerra in 2017?";"Will Xavier Becerra face charges in 2017?"
"Will Susan Rice testify before Congress in 2017?";"Will Rice testify by 12/31?"
"B3) 10% - 15%";"10-15"
"B6) 25% or more";"25+"
"B5) 20% - 25%";"20-25"
"B4) 15% - 20%";"15-20"
"B5) 8% - 10%";"8-10"
"B1) 0% - 2%";"0-2"
"B2) 2% - 4%";"2-4"
"B3) 4% - 6%";"4-6"
"B4) 6% - 8%";"6-8"
"B6) 10% or more";"10+"
"B7) 12% or more";"12+"
"B6) 10% - 12%";"10-12"
"Will Mike Pence vote on the health care bill H.R. 1628 by September 30?";"Pence vote on HR 1628 by 9/30?"
"Will Susan Collins vote to pass the health care bill H.R. 1628 by September 30?";"Collins vote for HR 1628 by 9/30?"
"Will Lisa Murkowski vote to pass the health care bill H.R. 1628 by September 30?";"Murkowski vote for HR 1628 by 9/30?"
"Will John McCain vote to pass the health care bill H.R. 1628 by September 30?";"McCain vote for HR 1628 by 9/30?"
"Will Boris Johnson be U.K. Foreign Secretary on September 30?";"Johnson Foreign Secretary on 9/30?"
"Will Theresa May mention ""Trump"" in Florence speech?";"May mention ""Trump"" in Florence speech?"
"Will Theresa May mention ""single market"" in Florence speech?";"May mention ""single market"" in Florence speech?"
"Will Trump's Gallup approval be 37% or higher for September 26-28?";"Trump's Gallup at 37+ 9/26 - 9/28?"
"Will Jimmy Kimmel testify before Congress in 2017?";"Will Kimmel testify in 2017?"
"Will the Senate vote on health care bill H.R. 1628 by September 30?";"Senate vote on health care bill HR 1628 by 9/30?"
"Will Ted Cruz vote to pass the health care bill H.R. 1628 by September 30?";"Cruz vote for health care bill HR 1628 by 9/30?"
"Will Chris Christie appoint a U.S. senator from New Jersey by January 16, 2018?";"Will Christie appoint a senator by 1/16/2018?"
"Will Catalonia hold an independence vote on October 1?";"Catalonia hold independence vote on 10/1?"
"Will Gary Cohn be Director of the National Economic Council on December 31?";"Cohn NEC director on 12/31?"
"Will H. R. McMaster be National Security Advisor on December 31?";"McMaster Nat'l Security Advisor on 12/31?"
"Will Rex Tillerson be Secretary of State on December 31?";"Will Tillerson be Sec. State on 12/31?"
"Will John Kelly be White House chief of staff on December 31?";"Will Kelly be WH chief of staff on 12/31?"
"Will Jeff Sessions be Attorney General on December 31?";"Will Sessions be AG on 12/31?"
"Will James Mattis be Secretary of Defense on December 31?";"Will Mattis be SecDef on 12/31?"
"Will DHS delay the Oct. 5 DACA renewal deadline?";"Will DHS delay DACA deadline?"
"Will Tom Price be Secretary of Health and Human Services on December 31?";"Will Price be HHS Sec. on 12/31?"
"Will the House pass the Border Security for America Act in 2017?";"House pass border bill HR 3548 in 2017?"
" Will Trump's Gallup approval be 36% or higher for October 3-5?";"Trump's Gallup at 36+ 10/3 - 10/5?"
"Will the House pass the Pain-Capable Unborn Child Protection Act by October 6?";"House pass 20+ wk abortion bill by 10/6?"
"B4) 39.0% - 40.9%";"39.0-40.9"
"B7) 33.0% - 34.9%";"33.0-34.9"
"B6) 35.0% - 36.9%";"35.0-36.9"
"B5) 37.0% - 38.9%";"37.0-38.9"
"B3) 41.0% - 42.9%";"41.0-42.9"
"B2) 43.0% - 44.9%";"43.0-44.9"
"B8) 32.9% or lower";"32.9-"
"Seema Verma";"Verma"
"Don Wright";"Wright"
"Bill Cassidy";"Cassidy"
"Will Mariano Rajoy be prime minister of Spain at the end of 2017?";"Will Rajoy be Spanish PM on 12/31?"
"Will Ryan Zinke be Secretary of the Interior on November 30?";"Will Zinke be Interior Sec. on 11/30?"
"55% or more";"55+"
"50% - 55%";"50-55"
"0% - 30%";"0-30"
"30% - 34%";"30-34"
"42% or more";"42+"
"34% - 38%";"34-38"
"38%-42%";"38-42"
"22% - 26%";"22-26"
"26% - 30%";"26-30"
"0% - 22%";"0-22"
"Will House pass a 2018 budget resolution by Oct. 6?";"House pass 2018 budget by 10/6?"
"Vote on Puerto Rico statehood legislation by year-end 2018?";"Vote on Puerto Rico statehood in 2018?"
"Will the House pass CHIP reauthorization by October 31?";"House renew CHIP by Oct. 31?"
"Will the Senate pass CHIP reauthorization by October 31?";"Senate renew CHIP by Oct. 31?"
"Will Rex Tillerson be Secretary of State on October 31?";"Will Tillerson be Sec. State on 10/31?"
"Will the Senate pass Feinstein gun control bill in 2017?";"Senate pass Feinstein gun bill in 2017?"
"Will Robert Mueller be replaced as Special Counsel by Dec. 31?";"Will Mueller be replaced by 12/31?"
"Will SCOTUS overrule public sector union decision in Janus v. American Federation by 7/31/18?";"SCOTUS overrules public union decision?"
" Will Trump's Gallup approval be 39% or higher for October 10-12?";"Trump's Gallup at 39+ 10/10 - 10/12?"
"Austrian People's Party";"Austrian People's"
"Freedom Party";"Freedom"
"New Austria and Liberal Forum";"New Austria"
"Greens";"Greens"
"Social Democratic Party";"Social Democratic"
"Will John Barrasso win the 2018 Wyoming Republican Senate primary?";"Will Barrasso win WY GOP Senate primary?"
"Will the United States recognize Catalan independence by June 30, 2018?";"U.S. recognizes Catalan independence by 6/30?"
"Andy Ogles";"Ogles"
"Larry Crim";"Crim"
"Homeland Security";"DHS"
"Veterans Affairs";"VA"
"Education";"Education"
"Health and Human Services";"HHS"
"Commerce";"Commerce"
"Justice";"Justice"
"Agriculture";"USDA"
"State";"State"
"Housing and Urban Development";"HUD"
"Transportation";"Transportation"
"Treasury";"Treasury"
"Defense";"Defense"
"Energy";"Energy"
"Interior";"Interior"
"Labor";"Labor"
"Mike Pompeo";"Pompeo"
"Will the CEO of Google or Alphabet testify before Congress in 2017?";"Will Google/Alphabet CEO testify in 2017?"
"Will Senate pass a 2018 budget resolution by Oct. 20?";"Senate pass 2018 budget by 10/20?"
" Will Trump's Gallup approval be 37% or higher for October 17-19?";"Trump's Gallup at 37+ 10/17 - 10/19?"
"Will the House pass Curbelo gun bill H.R. 3999 in 2017?";"House pass H.R. 3999 in 2017?"
"Keisha Bottoms";"Bottoms"
"Peter Aman";"Aman"
"Mary Norwood";"Norwood"
"Will LDP coalition win 310+ seats in 2017 Japanese House of Reps election?";"LDP supermajority in Japan's House election?"
"Will any party win 50+ seats in the 2017 Czech legislative election?";"Any party 50+ seats in Czech election?"
"Will Andrej Babiš be prime minister of the Czech Republic at the end of 2017?";"Will Babiš be Czech PM on 12/31?"
"42 or more";"42+"
"26 or fewer";"26-"
"27 - 29";"27 - 29"
"30 - 32";"30 - 32"
"33 - 35";"33 - 35"
"39 - 41";"39 - 41"
"36 - 38";"36 - 38"
"B3) December 2017";"Dec. 2017"
"B1) October 2017";"Oct. 2017"
"B2) November 2017";"Nov. 2017"
"B4) January 2018";"Jan. 2018"
"B5) February 2018";"Feb. 2018"
"B6) March 2018 or later, or never";"Mar. 2018+"
"Will Sandy Levin be the Democratic nominee for Michigan's 9th District?";"Will Levin be MI-09 Dem nominee?"
"Will Trump's 538 job approval index be 38.1% or higher at end of day October 23?";"Trump 538 approval at 38.1+ 10/23"
"Will Manhattan DA charge Harvey Weinstein by June 30, 2018?";"Manhattan DA charge Weinstein by 6/30?"
"Will Iran Nuclear Agreement Review Act be amended in 2017?";"Iran deal implementation amended in 2017?"
"Will California autonomy initiative 17-0005 qualify for 2018 ballot?";"CA autonomy initiative qualify for 2018 ballot?"
"B2) 8 - 9";"8 - 9"
"B7) 18 or more";"18+"
"B5) 14 - 15";"14 - 15"
"B6) 16 - 17";"16 - 17"
"B4) 12 - 13";"12 - 13"
"B1) 7 or fewer";"7-"
"B3) 10 - 11";"10 - 11"
"Will Pat Tiberi resign from Congress in 2017?";"Tiberi resign in 2017?"
"Justin Fairfax";"Fairfax"
"Jill Vogel";"Vogel"
"Will Trump's Gallup approval be 36% or higher for October 24-26?";"Trump's Gallup at 36+ 10/24 - 10/26?"
"Will Mitch McConnell be Senate majority leader at year-end 2018?";"McConnell majority leader at year-end?"
"Will the corporate tax rate be cut by March 31, 2018?";"Corporate tax cut by 3/31/18?"
"Will House pass amended 2018 budget resolution by Oct. 27?";"House pass amended 2018 budget by 10/27?"
"Will Iceland's Pirate Party win 8+ seats?";"Will Iceland's Pirate Party win 8+ seats?"
"Will Iceland's Left-Green Movement win a plurality?";"Will Iceland's Left-Green Movement win a plurality?"
"Will Trump's 538 job approval index for October 26 be 37.5% or higher?";"Trump 538 approval at 37.5+ 10/26?"
"Will Spain invoke Article 155 for Catalonia by October 31?";"Spain invoke Article 155 by 10/31?"
"Will Democrats' 538 Congressional polling edge for October 31 be 8.4% or higher?";"Dems' 538 Congressional edge 8.4+ 10/31?"
"Will Trump's 538 job approval index for October 30 be 37.1% or higher?";"Trump 538 approval at 37.1+ 10/30?"
"Richard Baum";"Baum"
"Bertha Madras";"Madras"
"Frank Guinta";"Guinta"
"Jim Carroll";"Carroll"
"Sebastián Piñera";"Piñera"
"Beatriz Sánchez";"Sánchez"
"Alejandro Guillier";"Guillier"
"Will anyone win an outright majority in Chile's first-round presidential election?";"Majority in Chilean 1st round election?"
"Will Trump's Gallup approval be 37% or higher for October 31-November 2?";"Trump's Gallup at 37+ 10/31 - 11/2?"
"Juan Orlando Hernández";"Hernández"
"Luis Orlando Zelaya";"Zelaya"
"Salvador Nasralla";"Nasralla"
"Will Trump's 538 job approval index for November 2 be 37.3% or higher?";"Trump 538 approval at 37.3+ 11/2?"
"Will Rick Gates be convicted of a federal charge by year-end 2018?";"Gates convicted by 12/31/18?"
"Will Paul Manafort be convicted of a federal charge by year-end 2018?";"Manafort convicted by 12/31/18?"
"Rick Kriseman";"Kriseman"
"Rick Baker";"Baker"
"Corey Johnson";"Johnson"
"Mark Levine";"Levine"
"Donovan Richards";"Richards"
"Ritchie Torres";"Torres"
"B1) 0% - 4%";"0-4"
"B7) 14% or more";"14+"
"B5) 10% - 12%";"10-12"
"B4) 8% - 10%";"8-10"
"B2) 4% - 6%";"4-6"
"B6) 12% - 14%";"12-14"
"B3) 6% - 8%";"6-8"
"Will Carles Puigdemont testify in Spanish court by Nov. 30?";"Will Puidgemont testify by 11/30?"
"B2) 6 - 7";"6 - 7"
"B6) 14 or more";"14+"
"B4) 10 - 11";"10 - 11"
"B3) 8 - 9";"8 - 9"
"B1) 5 or fewer";"5-"
"B5) 12 - 13";"12 - 13"
"Will Democrats' 538 Congressional polling edge for November 7 be 9.8% or higher?";"Dems' 538 Congressional edge 9.8+ 11/7?"
"B2) 41.0% - 42.9%";"41.0-42.9"
"B5) 35.0% - 36.9%";"35.0-36.9"
"B4) 37.0% - 38.9%";"37.0-38.9"
"B3) 39.0% - 40.9%";"39.0-40.9"
"B1) 43.0% or higher";"43.0+"
"Martha McSally";"McSally"
"Kelli Ward";"Ward"
"John Shadegg";"Shadegg"
"David Schweikert";"Schweikert"
"Will Trump's 538 job approval index for November 6 be 37.8% or higher?";"Trump 538 approval at 37.8+ 11/6?"
"Will a federal criminal charge against Hillary Clinton be confirmed by June 30, 2018?";"Will Hillary face charges by 6/30/18?"
"Will John Podesta testify before Congress by March 31, 2018?";"Will John Podesta testify by 3/31/18?"
"Will Debbie Wasserman Schultz testify before Congress by March 31, 2018?";"Will Wasserman Schultz testify by 3/31/18?"
"Will Marc Elias testify before Congress by March 31, 2018?";"Will Elias testify by 3/31/18?"
"Will a federal criminal charge against Tony Podesta be confirmed by June 30, 2018?";"Tony Podesta faces charges by 6/30/18?"
"Will Trump's Gallup approval be 38% or higher for November 7-9?";"Trump's Gallup at 38+ 11/7 - 11/9?"
"Will the House pass Tax Cuts and Jobs Act in 2017?";"House pass Tax Cuts & Jobs Act in 2017?"
"Will the Senate pass Tax Cuts and Jobs Act in 2017?";"Senate pass Tax Cuts & Jobs Act in 2017?"
"Will Trump's 538 job approval index for November 9 be 37.8% or higher?";"Trump 538 approval at 37.8+ 11/9?"
"Will the House vote on Tax Cuts & Jobs Act in 2017?";"House vote on Tax Cuts & Jobs Act in 2017?"
"Will the Senate vote on Tax Cuts & Jobs Act in 2017?";"Senate vote on Tax Cuts & Jobs Act in 2017?"
"Will Tom Perez be DNC chair on March 31, 2018?";"Perez DNC chair on 3/31?"
"Will Wilbur Ross be Secretary of Commerce on December 31?";"Will Ross be Commerce Sec. on 12/31?"
"Will Dianne Feinstein be re-elected to the U.S. Senate in California in 2018?";"Will Dianne Feinstein be re-elected?"
"Will Democrats' 538 Congressional polling edge for November 14 be 9.7% or higher?";"Dems' 538 Congressional edge 9.7+ 11/14?"
"Will the House pass Mueller resignation resolution H.Res 606 in 2017?";"House pass Mueller resign resolution in 2017?"
"Will Trump's 538 job approval index for November 13 be 37.6% or higher?";"Trump 538 approval at 37.6+ 11/13?"
"Will Trump's Gallup approval be 37% or higher for November 14-16?";"Trump's Gallup at 37+ 11/14 - 11/16?"
"Will Trump's 538 job approval index for November 16 be 38.1% or higher?";"Trump 538 approval at 38.1+ 11/16?"
"227 - 229";"227 - 229"
"218 - 220";"218 - 220"
"221 - 223";"221 - 223"
"224 - 226";"224 - 226"
"230 - 232";"230 - 232"
"233 or more";"233+"
"Will Moore win Jefferson County in Alabama's special Senate election?";"Will Moore win Jefferson County?"
"Will Moore win Montgomery County in Alabama's special Senate election?";"Will Moore win Montgomery County?"
"90 or more";"90"
"1.3-1.4 million";"1.3-1.4M"
"< 1.0 million";"1.0M-"
"1.0-1.1 million";"1.0-1.1M"
"1.2-1.3 million";"1.2-1.3M"
"1.1-1.2 million";"1.1-1.2M"
"1.5-1.6 million";"1.5-1.6M"
"1.6 million or more";"1.6M+"
"1.4-1.5 million";"1.4-1.5M"
"B1) On or before December 31, 2017";"By Dec. 31"
"B2) January 2018";"January"
"B3) February 2018";"February"
"B5) April 2018";"April"
"B6) May 2018";"May"
"B8) July 1, 2018 or later, or never";"Jul. 1, later, never"
"B7) June 2018";"June"
"B4) March 2018";"March"
"B2) 8.0% - 8.9%";"8.0-8.9"
"B1) 7.9% or less";"7.9-"
"B3) 9.0% - 9.9%";"9.0-9.9"
"B4) 10.0% - 10.9%";"10.0-10.9"
"B5) 11.0% - 11.9%";"11.0-11.9"
"B6) 12.0% - 12.9%";"12.0-12.9"
"B7) 13.0% or more";"13.0+"
"Gavin Newsom";"Newsom"
"Antonio Villaraigosa";"Villaraigosa"
"John Cox";"Cox"
"Travis Allen";"Allen"
"John Chiang";"Chiang"
"Will Theresa May be prime minister of the United Kingdom on March 31?";"Will May be UK PM on 3/31?"
"Andrew Gillum";"Gillum"
"John Morgan";"Morgan"
"Philip Levine";"Levine"
"Chris King";"King"
"Gwen Graham";"Graham"
"Jeff Greene";"Greene"
"Jack Latvala";"Latvala"
"Adam Putnam";"Putnam"
